,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
0,Switchback Railway,Coney Island,Removed,LaMarcus Adna Thompson,1884,40.574,-73.978,1884-06-16,Wood,6,,0,2.9,0
1,Flip Flap Railway,Sea Lion Park,Removed,Lina Beecher,1895,40.578,-73.979,1895-01-01,Wood,,,1,12,1
2,Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1896,41.58,-81.57,,Other,,,0,,2
3,Loop the Loop (Coney Island),Other,Removed,Edwin Prescott,1901,40.5745,-73.978,1/1/1901,Steel,,,1,,3
4,Loop the Loop (Young's Pier),Other,Removed,Edwin Prescott,1901,39.3538,-74.4342,1/1/1901,Steel,,,1,,4
5,Cannon Coaster,Coney Island,Removed,George Francis Meyer,1902,40.575,-73.98,1/1/1902,Wood,,,0,,5
6,Leap-The-Dips,Lakemont Park,Operating,Federal Construction Company,1902,,,1/1/1902,Wood,10,,0,,6
7,Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1904,41.58,-81.57,,Other,,,0,,7
8,Drop the Dip,Coney Island,Removed,Arthur Jarvis,1907,40.5744,-73.9786,6/6/1907,Other,,,0,,8
9,Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1907,41.58,-81.57,,Other,,,0,,9
10,Loop the Loop (Olentangy Park),Olentangy Park,Removed,Lina Beecher,1908,40.0204,-83.0143,1/1/1908,Steel,,,1,,10
11,Aero Dips,"Cleveland, Ohio, United States",Closed,,1909,41.58,-81.57,,Other,,,0,,11
12,Backety-Back Scenic Railway,Crystal Beach,Removed,,1909,42.8675,-79.0592,1/1/1909,Wood,10,,0,,12
13,Racer (1910 roller coaster),Kennywood,Operating,Charlie Mach,1910,40.3869,-79.8619,1/1/1927,Wood,40,,0,,13
14,Derby Racer,Revere Beach,Removed,Fred W. Pearce,1911,42.42,-70.986,1/1/1911,Wood,,,0,,14
15,The Great Scenic Railway,Luna Park Melbourne,Operating,LaMarcus Thompson,1912,,,12/1/1912,Wood,37.3,52.5,0,,15
16,Zippin Pippin,Other,,The Gravity Group,1912,,,,Wood,40,,0,,16
17,Racing Coaster,"Cleveland, Ohio, United States",Closed,,1913,41.58,-81.57,,Other,,,0,,17
18,Whirl Pool Dips,Tolchester Beach Park,Removed,,1913,39.214,-76.231,1/1/1913,Wood,,,0,,18
19,Green Dragon (Lake Compounce),Lake Compounce,Removed,,1914,41.642,-72.923,1/1/1914,Wood,,,0,,19
20,The Wild One (roller coaster),Six Flags America,,Dinn Corporation,1917,38.9092,-76.7725,,Wood,53,,0,,20
21,Jack Rabbit (Clementon Park),Clementon Park,Removed,Philadelphia Toboggan Coasters,1919,39.8041,-74.9844,1/1/1919,Wood,,,0,,21
22,Jack Rabbit (Kennywood),Kennywood,Operating,Harry C. Baker,1920,40.3867,-79.8628,1/1/1920,Wood,45,,0,,22
23,Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Operating,Harry C. Baker,1920,43.2316,-77.5432,1/1/1920,Wood,42,,0,,23
24,Scenic Railway (roller coaster),Dreamland Margate,Operating,,1920,51.3853,1.3775,7/3/1920,Wood,35,,0,,24
25,Roller Coaster (Lagoon),Lagoon Amusement Park,Operating,,1921,40.9849,-111.8951,7/15/1921,Wood,45,62,0,,25
26,Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,William Strickler,1923,53.7892,-3.0569,8/23/1923,Wood,40,,0,3.7,26
27,Wild Cat (Hersheypark),Hersheypark,Removed,Philadelphia Toboggan Coasters,1923,40.2882,-76.6535,6/16/1923,Wood,,,0,,27
28,The Bobs (roller coaster),Riverview Park,Removed,Prior and Church,1924,41.9407,-87.6924,1/1/1924,Wood,50,,0,,28
29,Giant Dipper,Santa Cruz Beach Boardwalk,Operating,Arthur Looff,1924,36.9647,-122.0153,5/17/1924,Wood,55,,0,,29
30,Pippin (roller coaster),Kennywood,Operating,,1924,40.3889,-79.865,1/1/1968,Wood,55,,0,,30
31,The Thriller (roller coaster),"Cleveland, Ohio, United States",Closed,,1924,41.58,-81.57,,Other,,,0,,31
32,Thunderhawk (Dorney Park),Dorney Park & Wildwater Kingdom,Operating,Philadelphia Toboggan Coasters,1924,40.5798,-75.5355,3/30/1924,Wood,45,,0,,32
33,Big Dipper (Geauga Lake),Geauga Lake,Removed,,1925,41.3491,-81.378,1/1/1925,Wood,32,,0,,33
34,Cyclone (Revere Beach),Revere Beach,Removed,Traver Engineering,1925,42.42,-70.986,1/1/1925,Wood,45,,0,,34
35,Giant Dipper (Belmont Park),Other,Operating,"Frank Prior, Fredrick Church",1925,,,7/4/1925,Wood,48,,0,,35
36,Jazz Railway,Rocky Glen Park,Removed,Traver Engineering,1925,41.3533,-75.7059,1/1/1925,Wood,,,0,,36
37,Thunderbolt (1925 roller coaster),Coney Island,Removed,,1925,40.5739,-73.9825,1/1/1925,Wood,,,0,,37
38,Thunderbolt (Savin Rock),Savin Rock,Removed,Traver Engineering,1925,41.257,-72.95,5/5/1925,Wood,,,0,,38
39,Crystal Beach Cyclone,Crystal Beach Park,Removed,Traver Engineering,1926,42.8617,-79.0598,1/1/1926,Wood,60,,0,4,39
40,Sesquicentennial Cyclone,Sesquicentennial Exposition,Removed,Traver Engineering,1926,39.9087,-75.1733,5/31/1926,Wood,,,0,,40
41,Tornado (Coney Island),Coney Island,Removed,,1926,40.574,-73.979,1/1/1926,Wood,,,0,,41
42,Coney Island Cyclone,"Luna Park, Coney Island",Operating,,1927,40.5742,-73.9778,6/26/1927,Other,60,,0,3.75,42
43,Cyclone (Palisades Amusement Park),Palisades Amusement Park,Removed,Traver Engineering,1927,40.8281,-73.9778,9/10/1927,Wood,,,0,,43
44,Lightning (Revere Beach),Revere Beach,Removed,Traver Engineering,1927,42.42,-70.986,7/2/1927,Wood,,,0,,44
45,Racer (Kennywood),Kennywood,Operating,Charlie Mach,1927,40.3869,-79.8619,1/1/1927,Wood,40,,0,,45
46,Wildcat (Lake Compounce),Lake Compounce,Operating,Philadelphia Toboggan Coasters,1927,41.6408,-72.9231,1/1/1927,Wood,48,,0,,46
47,Zip (roller coaster),Oaks Amusement Park,Removed,Traver Engineering,1927,45.473,-122.6606,1/1/1927,Wood,,,0,,47
48,Airplane Coaster,Playland,Removed,Frank W. Darling,1928,40.9658,-73.6739,5/26/1928,Wood,40,,0,,48
49,Monta?a Suiza,Monte Igueldo Amusement Park,Operating,,1928,43.3207,-2.0107,1/1/1928,Other,31,,0,,49
50,Dragon Coaster (Playland),Playland,Operating,,1929,40.9675,-73.6739,1/1/1929,Wood,,78.7,0,,50
51,Flying Turns (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1930,41.58,-81.57,,Other,,,0,,51
52,Yankee Cannonball,Canobie Lake Park,Operating,Philadelphia Toboggan Coasters,1930,42.7953,-71.2492,1/1/1930,Wood,35,65,0,,52
53,Roller Coaster (Great Yarmouth Pleasure Beach),Great Yarmouth Pleasure Beach,Operating,,1932,52.5928,1.7361,5/1/1932,Wood,45,,0,,53
54,Nickelodeon Streak,Blackpool Pleasure Beach,Operating,,1933,53.7908,-3.0544,1/1/1933,Wood,35,,0,3,54
55,Zipper Dipper,Blackpool Pleasure Beach,Operating,,1934,53.7902,-3.0539,1/1/1934,Other,,,0,,55
56,Big Dipper (Luna Park Sydney),Other,,,1935,,,,Wood,58,,0,,56
57,Grand National (roller coaster),Blackpool Pleasure Beach,Closed,,1935,53.7919,-3.0531,1/1/1935,Wood,40,,0,3.2,57
58,Blue Streak (Conneaut Lake),Conneaut Lake Park,Closed,,1937,41.6349,-80.318,5/23/1938,Wood,50,,0,,58
59,Rollo Coaster,Idlewild and Soak Zone,Operating,Philadelphia Toboggan Coasters,1938,40.2602,-79.2814,1/1/1938,Wood,25,,0,,59
60,Cyclone (Lakeside Amusement Park),Lakeside Amusement Park,Operating,,1940,39.7808,-105.054,5/17/1940,Wood,55,,0,,60
61,Flyer Comet (Whalom Park),Whalom Park,Removed,National Amusement Devices,1940,42.5762,-71.746,1/1/1940,Wood,40,,0,,61
62,Giant Skyrocket,Other,,Lake Contrary Amusement Park,1941,,,,Wood,,,0,,62
63,Thunderbolt (Six Flags New England),Six Flags New England,Operating,Joseph E. Drambour,1941,42.0389,-72.6133,1/1/1941,Wood,40,,0,,63
64,Comet (Hersheypark),Hersheypark,Operating,Philadelphia Toboggan Coasters,1946,40.2864,-76.6556,1/1/1946,Wood,50,,0,,64
65,Comet (Lincoln Park),Lincoln Park,Removed,National Amusement Devices,1946,41.6362,-71.0432,10/1/1946,Wood,55,,0,,65
